check (source file),event,date_first_detected,time_first_detected,temperature_celsuis,camera_model,location,treatment,site,site_type,wing1ID,wing1_detected,centreID,centre_detected,wing2ID,wing2_detected,walked_in_front_of_felixer?,walkpast,avoided,catID,comments,2_or_more_cameras,ID_dataset,date_site_set,time_in,times_caught_to_date,sex,days_since_site_set,days_cat_in,days_cat_exposed,direction,behavior,weight_g,age,captured_no,date_last_capture,days_since_last_capture
prey niavete cameras pulled 13.8,452,11/08/2021,20:26:50,8,swift,dingo,collared,CR10,crate,PN10,0,PN11,1,PN12,1,T,1,0,mohawk,pretty sure but blurry,yes,catID,5/07/2021,3/04/2021,2,M,37,130,37,south,"stops at PN12 looks north, walks past PN11 to investigate crate",5200,adult,2,30/04/2021,103
prey niavete cameras pulled 13.8,453,11/08/2021,0:32:34,11,swift,dingo,collared,CR11,crate,PN13,0,PN14,0,PN15,1,F,0,1,ginger,,no,catID,5/07/2021,7/04/2021,2,M,37,126,37,south,walks past PN15 but no others,4675,adult,2,31/05/2021,72
prey niavete cameras pulled 13.8,454,11/08/2021,3:32:36,12,swift,wildWest,uncollared,CR14,crate,PN16,0,PN17,1,PN18,1,T,1,0,na,,,drop,5/07/2021,na,na,NA,37,,37,south,"walks south, cuts to fence on PN18, comes back down in front of felixer PN17. has a glance but passes fine. ",,,,,
HM and SR pulled 22.9,455,12/08/2021,20:13:11,7,reconyx,dingo,collared,CR02,crate,SR10,1,SR11,1,SR12,0,T,1,0,mohawk,,yes,catID,29/05/2021,3/04/2021,2,M,75,131,75,east,,5200,adult,2,30/04/2021,104
HM and SR pulled 22.9,456,12/08/2021,23:15:59,7,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,1,HM9,0,T,1,0,,,no,drop,29/05/2021,11/08/2021,1,M,75,1,1,east,,,,,,
HM and SR pulled 22.9,457,12/08/2021,21:50:44,8,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,1,HM9,0,T,1,0,,,no,drop,29/05/2021,30/07/2021,1,M,75,13,13,east,,4250,adult,1,30/07/2021,13
prey niavete cameras pulled 13.8,458,12/08/2021,19:04:21,6,swift,dingo,collared,CR11,crate,PN13,0,PN14,0,PN15,1,F,0,1,,,no,drop,5/07/2021,10/08/2021,1,M,38,2,2,south,stops and does a 360 infront of PN15,4100,adult,1,10/08/2021,2
prey niavete cameras pulled 13.8,459,12/08/2021,20:57:35,2,swift,dingo,collared,CR11,crate,PN13,1,PN14,0,PN15,1,F,0,1,mohawk,"blurry, but back right looks like mohawk",yes,catID,5/07/2021,3/04/2021,2,M,38,131,38,south,doesn’t look at any cameras passes all.,5200,adult,2,30/04/2021,104
prey niavete cameras pulled 13.8,460,12/08/2021,0:42:40,2,swift,wildWest,uncollared,CR13,crate,PN25,0,PN26,1,PN27,0,T,1,0,na,,,drop,5/07/2021,na,0,NA,38,,38,north,walks past centre camera,,,,,
prey niavete cameras pulled 13.8,461,12/08/2021,0:17:15,3,swift,wildWest,uncollared,CR14,crate,PN16,0,PN17,0,PN18,1,F,0,1,na,,,drop,5/07/2021,na,0,NA,38,,38,south,"walks south past PN18, stops looks ahead then changes direction looks like it is moving off track. ",,,,,
HM and SR pulled 22.9,462,13/08/2021,3:12:10,5,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,1,HM9,0,T,1,0,,,no,drop,29/05/2021,30/07/2021,1,M,76,14,14,east,,4250,adult,1,30/07/2021,14
HM and SR pulled 22.9,463,13/08/2021,21:49:58,7,reconyx,dingo,collared,F2,felixer,SR7,0,SR8,1,SR9,0,T,1,0,,,no,drop,27/05/2021,10/08/2021,1,M,78,3,3,east,,4100,adult,1,10/08/2021,3
prey niavete cameras pulled 13.8,464,13/08/2021,3:47:04,-1,swift,dingo,collared,CR10,crate,PN10,1,PN11,1,PN12,1,T,1,0,comanche_moon,"new rebattery collar, so must be comanche moon",yes,catID,5/07/2021,10/08/2021,1,M,39,3,3,north,"walks past all, but stops and investigates crate and PN11",4100,adult,1,10/08/2021,3
prey niavete cameras pulled 13.8,465,13/08/2021,0:13:22,-1,swift,wildWest,uncollared,CR13,crate,PN25,0,PN26,0,PN27,1,F,0,1,na,,,drop,5/07/2021,na,0,NA,39,,39,north,walks in fron of PN27,,,,,
HM and SR pulled 22.9,466,14/08/2021,3:50:09,-2,reconyx,dingo,collared,CR01,crate,SR1,0,SR2,0,SR3,1,F,0,1,,,no,drop,27/05/2021,13/07/2021,1,F,79,32,32,east,,3700,adult,1,13/07/2021,32
HM and SR pulled 22.9,467,14/08/2021,21:21:22,2,reconyx,dingo,collared,CR01,crate,SR1,1,SR2,0,SR3,0,F,0,1,,,no,drop,27/05/2021,na,na,NA,79,,79,west,,,,,,
HM and SR pulled 22.9,468,14/08/2021,18:50:41,15,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,0,HM9,1,F,0,1,,,no,drop,29/05/2021,30/07/2021,1,M,77,15,15,west,,4250,adult,1,30/07/2021,15
HM and SR pulled 22.9,468.1,14/08/2021,19:47:39,10,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,0,HM9,1,F,0,1,,,no,drop,29/05/2021,30/07/2021,1,M,77,15,15,west,,4250,adult,1,30/07/2021,15
HM and SR pulled 22.9,469,14/08/2021,23:46:17,6,reconyx,dingo,collared,F1,felixer,SR4,1,SR5,1,SR6,1,T,1,0,mohawk,,yes,catID,27/05/2021,3/04/2021,2,M,79,133,79,west,,5200,adult,2,30/04/2021,106
HM and SR pulled 22.9,470,14/08/2021,5:25:47,2,reconyx,dingo,collared,F2,felixer,SR7,0,SR8,1,SR9,0,T,1,0,,,no,drop,27/05/2021,na,na,NA,79,,79,east,,,,,,
